"name","year","ppt","springT"
"Geode Lake",2020,515.038005828857,10.5092997550964
"Geode Lake",2021,652.081396102905,11.5346999168396
"Lake Hendricks",2017,576.062004089355,6.92833371957143
"Lake Hendricks",2018,586.251013278961,5.68333348631859
"Lake Hendricks",2019,629.370004653931,4.98346630732218
"Lake Hendricks",2020,575.530002593994,6.50813325246175
"Lake Hendricks",2021,323.922191143036,7.97263312339783
"Lake Icaria",2017,457.297006607056,10.3123337427775
"Lake Icaria",2018,365.945994853973,9.53966728846232
"Lake Icaria",2019,647.988004684448,8.15896661377822
"Lake Icaria",2020,502.005996465683,9.57613325119019
"Lake Icaria",2021,464.785083770752,10.4547662734985
"Lake Iowa",2017,466.086000442505,9.59200040499369
"Lake Iowa",2018,433.063002586365,8.60766708850861
"Lake Iowa",2019,846.06099319458,7.62813299894333
"Lake Iowa",2020,427.034998416901,9.05426645278931
"Lake Iowa",2021,461.690496444702,10.028599580129
"Lake Keomah",2017,457.281001091003,10.564667224884
"Lake Keomah",2018,451.438009262085,9.36033407847087
"Lake Keomah",2019,847.776973724365,8.58146651585897
"Lake Keomah",2020,499.295991897583,10.5069661140442
"Lake Keomah",2021,484.466390609741,11.2973993619283
"Lake Manawa",2017,496.369005203247,11.1323335965474
"Lake Manawa",2018,349.727993488312,10.2790007591248
"Lake Manawa",2019,614.803997039795,9.45929972330729
"Lake Manawa",2020,414.981001853943,10.4671665827433
"Lake Manawa",2021,420.63059425354,11.8282995223999
"Lake MacBride",2017,506.239999771118,10.0020005702972
"Lake MacBride",2018,429.080993652344,8.93133401870728
"Lake MacBride",2019,864.236015319824,7.9183331951499
"Lake MacBride",2020,493.863001823425,9.35543330510457
"Lake MacBride",2021,496.31799697876,10.3699329694112
"Lake Meyer",2017,591.127994537354,7.67700046300888
"Lake Meyer",2018,635.365993499756,6.55533349265655
"Lake Meyer",2019,633.985996246338,5.81233302752177
"Lake Meyer",2020,549.886989593506,7.40459966659546
"Lake Meyer",2021,285.425290584564,8.89569997787476
"Lake Miami",2017,458.713003158569,10.6456672350566
"Lake Miami",2018,381.883001327515,9.49800062179565
"Lake Miami",2019,822.887004852295,8.74879988034566
"Lake Miami",2020,462.458994865417,9.93689982096354
"Lake Miami",2021,478.195699691772,10.9935665130615
"Lake Minnewashta",2017,460.4850025177,7.39166704813639
"Lake Minnewashta",2018,461.787003278732,5.99266715844472
"Lake Minnewashta",2019,649.073997497559,5.67016649246216
"Lake Minnewashta",2020,509.905996322632,7.33349982897441
"Lake Minnewashta",2021,320.653297424316,8.52076625823975
"Lake of the Hills",2017,505.838994979858,10.4503339131673
"Lake of the Hills",2018,470.41700553894,9.34200032552083
"Lake of the Hills",2019,888.400989532471,8.30346647898356
"Lake of the Hills",2020,462.905995368958,9.76859966913859
"Lake of the Hills",2021,541.56759262085,10.5804664293925
